"Prompt: 你将看到一系列词语。请根据你的第一反应，快速决定每个词语更让你联想到“喜剧”还是“悲剧”。在每个词语旁边写下你的选择。

请注意：

快速反应： 不需要过度思考，依靠第一印象。
简洁回答： 只需写下相应词语和你的选择，不要添加额外内容。

这些词语是：
",order-0,shuffle0-test0,"Prompt: 你将看到一系列词语。请根据你的第一反应，快速决定每个词语更让你联想到“喜剧”还是“悲剧”。在每个词语旁边写下你的选择。

请注意：

快速反应： 不需要过度思考，依靠第一印象。
简洁回答： 只需写下相应词语和你的选择，不要添加额外内容。

这些词语是：
.1",order-1,shuffle1-test0
1. 使用,10,COMEDY,1. 业主,4104,COMEDY
2. 现金,1405,COMEDY,2. 作品,290,COMEDY
3. 虚构,3784,COMEDY,3. 问题,11,TRAGEDY
4. 主人,1483,COMEDY,4. 洋葱,1263,COMEDY
5. 纤维,1708,NEUTRAL,5. 投资者,1270,TRAGEDY
6. 追踪,2555,TRAGEDY,6. 加油,3397,COMEDY
7. 推广,419,COMEDY,7. 光,899,COMEDY
8. 循环,635,NEUTRAL,8. 活动,65,COMEDY
9. 鼓舞,4471,COMEDY,9. 引领,2815,COMEDY
10. 方向,386,NEUTRAL,10. 推理,788,TRAGEDY
11. 激光,4412,NEUTRAL,11. 排序,551,COMEDY
12. 那里,1113,NEUTRAL,12. 陶瓷,3810,COMEDY
13. 领域,52,NEUTRAL,13. 太阳,475,COMEDY
14. 入,701,NEUTRAL,14. 金属,1108,TRAGEDY
15. 食材,669,COMEDY,15. 跟踪,1538,TRAGEDY
16. 薪资,2802,COMEDY,16. 成长,438,COMEDY
17. 成语,3956,COMEDY,17. 变化,120,COMEDY
18. 快递,4065,COMEDY,18. 芯片,2516,COMEDY
19. 效益,1761,NEUTRAL,19. 美容,2258,COMEDY
20. 加,666,NEUTRAL,20. 心理学,1317,TRAGEDY
21. 光源,4720,NEUTRAL,21. 妇女,4612,COMEDY
22. 光芒,2451,COMEDY,22. 日期,588,COMEDY
23. 小火,3841,NEUTRAL,23. 相信,515,COMEDY
24. 盗,4991,TRAGEDY,24. 房子,1937,COMEDY
25. 独立,3499,NEUTRAL,25. 入住,4282,COMEDY
26. 排序,551,NEUTRAL,26. 奶粉,4638,COMEDY
27. 消毒,3709,NEUTRAL,27. 蓝色,1505,TRAGEDY
28. 艺术品,1676,NEUTRAL,28. 字体,1883,COMEDY
29. 价,3539,NEUTRAL,29. 园林,3691,COMEDY
30. 背,4477,TRAGEDY,30. 曲子,4650,COMEDY
31. 改变,301,COMEDY,31. 微生物,3307,COMEDY
32. 这,23,COMEDY,32. 轨迹,3349,TRAGEDY
33. 停车,3606,COMEDY,33. 配方,1907,COMEDY
34. 段落,930,COMEDY,34. 进食,4661,COMEDY
35. 错误,623,COMEDY,35. 豆瓣酱,3749,COMEDY
36. 咨询,665,COMEDY,36. 奇迹,4917,COMEDY
37. 官方,2108,TRAGEDY,37. 指纹,4611,TRAGEDY
38. 背后,2140,TRAGEDY,38. 编码,1446,COMEDY
39. 字符,979,COMEDY,39. 家族,1677,COMEDY
40. 手法,2058,COMEDY,40. 令,690,TRAGEDY
41. 摄取,4204,COMEDY,41. 消防,4663,TRAGEDY
42. 画出,4856,COMEDY,42. 朋友们,3190,COMEDY
43. 美味,1078,COMEDY,43. 化为,4680,TRAGEDY
44. 失踪,4965,TRAGEDY,44. 抱歉,1406,TRAGEDY
45. 应该,50,COMEDY,45. 卡路里,3240,COMEDY
46. 孔,4314,COMEDY,46. 主演,4886,COMEDY
47. 总和,2541,COMEDY,47. 推移,2508,TRAGEDY
48. 调味,1753,COMEDY,48. 洗手,3952,COMEDY
49. 感到,244,COMEDY,49. 骨头,4653,TRAGEDY
50. 社区,524,COMEDY,50. 学术化,4476,TRAGEDY
51. 商业,401,COMEDY,51. 向日葵,4664,COMEDY
52. 销售,273,COMEDY,52. 有助于,358,COMEDY
53. 高度,860,COMEDY,53. 线索,2193,TRAGEDY
54. 共鸣,2416,COMEDY,54. 前来,3007,COMEDY
55. 氢,3002,COMEDY,55. 向往,4414,COMEDY
56. 权衡,3891,COMEDY,56. 看见,4805,COMEDY
57. 电磁,4330,COMEDY,57. 怕,4118,TRAGEDY
58. 演化,1612,COMEDY,58. 外界,3147,TRAGEDY
59. 经理,768,COMEDY,59. 内,2798,TRAGEDY
60. 奶油,1754,COMEDY,60. 学到,2998,COMEDY
61. 立场,3237,COMEDY,61. 发,1902,COMEDY
62. 角色,146,COMEDY,62. 规范,1033,TRAGEDY
63. 重复,1671,COMEDY,63. 递,2285,COMEDY
64. 节省,1774,COMEDY,64. 总价,3993,TRAGEDY
65. 文字,1101,COMEDY,65. 替换,1512,COMEDY
66. 期,2223,TRAGEDY,66. 配菜,4614,COMEDY
67. 发布,890,COMEDY,67. 表,655,COMEDY
68. 瓶颈,3682,TRAGEDY,68. 储备,3576,TRAGEDY
69. 服饰,4046,COMEDY,69. 贫困,4851,TRAGEDY
70. 怀疑,3260,TRAGEDY,70. 力量,441,COMEDY
71. 照顾,1441,COMEDY,71. 口感,477,COMEDY
72. 刷,4539,COMEDY,72. 育儿,2241,COMEDY
73. 源,2328,COMEDY,73. 剂量,3367,TRAGEDY
74. 选购,2189,COMEDY,74. 阻力,3353,TRAGEDY
75. 缩写,4935,COMEDY,75. 食物,281,COMEDY
76. 海拔,2680,TRAGEDY,76. 矿物质,1976,TRAGEDY
77. 准确性,959,TRAGEDY,77. 引力场,4865,COMEDY
78. 交换,1778,COMEDY,78. 权限,2150,TRAGEDY
79. 推出,981,COMEDY,79. 棕色,4423,TRAGEDY
80. 学习,29,COMEDY,80. 法律,337,TRAGEDY
81. 短文,1965,COMEDY,81. 用户,58,COMEDY
82. 用户,58,COMEDY,82. 撞击,4729,TRAGEDY
83. 篡改,3554,TRAGEDY,83. 环保,85,COMEDY
84. 基于,1014,COMEDY,84. 携带,2380,COMEDY
85. 墙,2055,TRAGEDY,85. 重量,1035,TRAGEDY
86. 护理,1569,COMEDY,86. 副作用,2942,TRAGEDY
87. 客户,109,COMEDY,87. 缺陷,2529,TRAGEDY
