"Prompt: 你将看到一系列词语。请根据你的第一反应，快速决定每个词语更让你联想到“喜剧”还是“悲剧”。在每个词语旁边写下你的选择。

请注意：

快速反应： 不需要过度思考，依靠第一印象。
简洁回答： 只需写下词语序号和你的选择，不要添加任何额外内容。

这些词语是：
",order-0,shuffle0-test0,"Prompt: 你将看到一系列词语。请根据你的第一反应，快速决定每个词语更让你联想到“喜剧”还是“悲剧”。在每个词语旁边写下你的选择。

请注意：

快速反应： 不需要过度思考，依靠第一印象。
简洁回答： 只需写下词语序号和你的选择，不要添加任何额外内容。

这些词语是：
.1",order-1,shuffle1-test0
1. 策略,263,TRAGEDY,1. 课,3282,TRAGEDY
2. 乐曲,4683,COMEDY,2. 战术,2504,TRAGEDY
3. 植物,227,COMEDY,3. 晋升,3395,COMEDY
4. 适应性,2343,COMEDY,4. 人类,63,TRAGEDY
5. 花园,1386,COMEDY,5. 为主,1580,TRAGEDY
6. 因果,3478,TRAGEDY,6. 公告,4193,COMEDY
7. 饼干,2403,COMEDY,7. 授权,2382,COMEDY
8. 改为,3738,COMEDY,8. 注册,1655,COMEDY
9. 时代,677,TRAGEDY,9. 排序,551,TRAGEDY
10. 单位,850,TRAGEDY,10. 问题,11,TRAGEDY
11. 秋风,3191,TRAGEDY,11. 更换,1060,COMEDY
12. 分为,837,TRAGEDY,12. 教,2577,TRAGEDY
13. 取消,3507,TRAGEDY,13. 格,2866,TRAGEDY
14. 激素,4880,TRAGEDY,14. 乐趣,1559,COMEDY
15. 便利性,4728,COMEDY,15. 作物,3925,TRAGEDY
16. 叫,1463,COMEDY,16. 剂量,3367,TRAGEDY
17. 球队,2006,COMEDY,17. 电脑,727,COMEDY
18. 宣布,3660,COMEDY,18. 重心,4509,TRAGEDY
19. 烦恼,3247,TRAGEDY,19. 行人,3740,TRAGEDY
20. 减少,83,TRAGEDY,20. 惊喜,2703,COMEDY
21. 奋斗,2491,TRAGEDY,21. 症,3669,TRAGEDY
22. 口,2692,COMEDY,22. 在线,2568,COMEDY
23. 狗,252,COMEDY,23. 防止,775,TRAGEDY
24. 喂食,4394,COMEDY,24. 毛,3259,COMEDY
25. 待遇,2813,COMEDY,25. 制品,1962,COMEDY
26. 生长,522,COMEDY,26. 豆瓣酱,3749,COMEDY
27. 奶酪,1843,COMEDY,27. 中年,3474,TRAGEDY
28. 接收,1626,COMEDY,28. 游戏,88,COMEDY
29. 出版社,4413,COMEDY,29. 提,3264,COMEDY
30. 种群,4335,COMEDY,30. 力,955,COMEDY
31. 奇迹,4917,COMEDY,31. 离开,1335,TRAGEDY
32. 加,666,COMEDY,32. 渲染,3214,COMEDY
33. 处,615,TRAGEDY,33. 恋爱,1684,COMEDY
34. 农历,4448,TRAGEDY,34. 有,6,COMEDY
35. 地面,1145,TRAGEDY,35. 鸭子,3337,COMEDY
36. 学科,1459,TRAGEDY,36. 米饭,2104,COMEDY
37. 减压,3842,COMEDY,37. 解题,2543,COMEDY
38. 试图,1403,TRAGEDY,38. 节目,1627,COMEDY
39. 庆祝,1794,COMEDY,39. 送,2034,COMEDY
40. 空中,2741,COMEDY,40. 验证,863,COMEDY
