"Prompt: 你将看到一系列词语。请根据你的第一反应，快速决定每个词语更让你联想到“喜剧”还是“悲剧”。在每个词语旁边写下你的选择。

请注意：

快速反应： 不需要过度思考，依靠第一印象。
简洁回答： 只需写下相应词语和你的选择，不要添加额外内容。

这些词语是：
",order-0,shuffle0-test0,"Prompt: 你将看到一系列词语。请根据你的第一反应，快速决定每个词语更让你联想到“喜剧”还是“悲剧”。在每个词语旁边写下你的选择。

请注意：

快速反应： 不需要过度思考，依靠第一印象。
简洁回答： 只需写下相应词语和你的选择，不要添加额外内容。

这些词语是：
.1",order-1,shuffle1-test0
1. 散文,2218,TRAGEDY,1. 隐藏,2272,TRAGEDY
2. 词语,1434,COMEDY,2. 薪资,2802,TRAGEDY
3. 秘密,2678,TRAGEDY,3. 远处,3118,COMEDY
4. 抵抗,4554,COMEDY,4. 体检,3308,TRAGEDY
5. 穿着,1523,COMEDY,5. 寻找,277,COMEDY
6. 教训,3538,TRAGEDY,6. 后台,4736,COMEDY
7. 正面,3440,COMEDY,7. 罚款,4173,TRAGEDY
8. 奥运会,4469,COMEDY,8. 制造商,3112,COMEDY
9. 舞,2333,COMEDY,9. 展望,3587,COMEDY
10. 老年人,2459,TRAGEDY,10. 潜水,3914,COMEDY
11. 题目,730,COMEDY,11. 预期,2320,COMEDY
12. 当代,4360,COMEDY,12. 表达,215,COMEDY
13. 树,970,COMEDY,13. 住宿,2136,COMEDY
14. 奠定,4018,TRAGEDY,14. 物质,328,TRAGEDY
15. 注,3462,COMEDY,15. 限于,2414,TRAGEDY
16. 宽,2784,COMEDY,16. 促使,4254,COMEDY
17. 派,4832,COMEDY,17. 望,3702,COMEDY
18. 技巧,238,COMEDY,18. 市民,2187,COMEDY
19. 标志,1216,COMEDY,19. 道德,648,TRAGEDY
20. 三星,4096,COMEDY,20. 节省,1774,COMEDY
21. 期,2223,TRAGEDY,21. 立场,3237,TRAGEDY
22. 值得,668,COMEDY,22. 准备,254,COMEDY
23. 改造,3765,COMEDY,23. 程序,113,COMEDY
24. 便于,3483,COMEDY,24. 捐赠,3997,COMEDY
25. 梯度,4391,COMEDY,25. 露营,3151,COMEDY
26. 回答,170,COMEDY,26. 经,3257,COMEDY
27. 挂,2996,COMEDY,27. 者,285,COMEDY
28. 旨,2224,COMEDY,28. 床垫,4248,COMEDY
29. 头脑,1974,COMEDY,29. 五花肉,4073,COMEDY
30. 来自,765,COMEDY,30. 京东,4610,COMEDY
31. 爵士,4239,COMEDY,31. 背后,2140,TRAGEDY
32. 帮到,3301,COMEDY,32. 营养,530,COMEDY
33. 注射,4882,TRAGEDY,33. 审视,3929,TRAGEDY
34. 炖,3957,COMEDY,34. 等待,1062,TRAGEDY
35. 蛇,2972,TRAGEDY,35. 电线,3520,COMEDY
36. 神秘,3625,TRAGEDY,36. 佛教,2334,COMEDY
37. 卷,2410,COMEDY,37. 像素,2588,COMEDY
38. 误差,2584,TRAGEDY,38. 整数,819,COMEDY
39. 登录,1906,COMEDY,39. 增多,4499,COMEDY
40. 有益于,4649,COMEDY,40. 礼品,3736,COMEDY
41. 庆祝,1794,COMEDY,41. 家,482,COMEDY
42. 石,4267,TRAGEDY,42. 破坏,740,TRAGEDY
43. 饮料,869,COMEDY,43. 边长,2920,COMEDY
44. 叫,1463,COMEDY,44. 艾米,2213,COMEDY
