"Prompt: 
You will see a series of words. Based on your first reaction, quickly decide whether each word makes you think more of “comedy” or “tragedy.” Write down your choice next to each word.

Please note:

Quick reaction: Don’t overthink it—rely on your first impression.
Concise response: Simply write the word and your choice. Do not add any extra content.

These words are:
",order-0,shuffle0-test0,"Prompt: 
You will see a series of words. Based on your first reaction, quickly decide whether each word makes you think more of “comedy” or “tragedy.” Write down your choice next to each word.

Please note:

Quick reaction: Don’t overthink it—rely on your first impression.
Concise response: Simply write the word and your choice. Do not add any extra content.

These words are:
.1",order-1,shuffle1-test0
1. music,67,COMEDY,1. beaches,3933,COMEDY
2. Remember,322,TRAGEDY,2. calling,2307,TRAGEDY
3. wall,1796,TRAGEDY,3. laughter,1435,COMEDY
4. talking,1573,COMEDY,4. shift,1109,TRAGEDY
5. tab,4990,COMEDY,5. makeup,2838,COMEDY
6. literature,775,TRAGEDY,6. layer,1259,TRAGEDY
7. communities,143,COMEDY,7. talk,945,COMEDY
8. celebrations,4849,COMEDY,8. atmosphere,939,TRAGEDY
9. formula,1880,TRAGEDY,9. review,693,COMEDY
10. journey,333,COMEDY,10. songs,1368,COMEDY
11. called,425,COMEDY,11. Stay,1695,TRAGEDY
12. partnership,2183,COMEDY,12. vegetables,786,COMEDY
13. lab,3694,COMEDY,13. rock,1321,COMEDY
14. operation,1774,TRAGEDY,14. install,2022,COMEDY
15. methodology,4451,TRAGEDY,15. career,650,TRAGEDY
16. muscles,1899,COMEDY,16. condition,1045,TRAGEDY
17. lot,516,COMEDY,17. successes,4040,COMEDY
18. algorithm,1244,TRAGEDY,18. New,410,COMEDY
19. pride,2255,TRAGEDY,19. streams,3706,COMEDY
20. watch,1325,COMEDY,20. killed,3878,TRAGEDY
21. Old,3612,TRAGEDY,21. reminiscent,1585,TRAGEDY
22. faced,575,TRAGEDY,22. visualization,3064,COMEDY
23. Henry,4678,COMEDY,23. covered,1660,TRAGEDY
24. New,410,COMEDY,24. listening,1255,COMEDY
25. heard,951,COMEDY,25. rooted,4894,TRAGEDY
26. Services,2752,TRAGEDY,26. manufacturers,3435,COMEDY
27. intelligence,837,COMEDY,27. enter,1658,COMEDY
28. application,400,TRAGEDY,28. legs,1724,COMEDY
29. discovering,4704,COMEDY,29. MARIA,2939,TRAGEDY
30. pace,2513,COMEDY,30. lose,2709,TRAGEDY
31. lesson,2907,COMEDY,31. Lilac,1988,COMEDY
32. partnerships,1482,COMEDY,32. T,2288,COMEDY
33. tourism,917,COMEDY,33. exploring,704,COMEDY
34. g,3956,COMEDY,34. bread,1850,COMEDY
35. directions,4205,COMEDY,35. equipment,657,COMEDY
36. traffic,882,TRAGEDY,36. computer,993,COMEDY
37. course,315,COMEDY,37. gold,2262,COMEDY
38. strengths,1544,COMEDY,38. Me,3555,COMEDY
39. compromise,3464,COMEDY,39. discomfort,2689,TRAGEDY
40. brain,1150,COMEDY,40. talked,4605,COMEDY
41. strategies,186,COMEDY,41. Martin,4428,COMEDY
42. Germany,1982,COMEDY,42. medications,2851,TRAGEDY
43. glow,2234,COMEDY,43. aunt,3944,COMEDY
44. Learning,1938,COMEDY,44. chemical,2797,TRAGEDY
45. spinach,4323,COMEDY,45. fabric,1750,COMEDY
46. args,2852,COMEDY,46. Family,4859,COMEDY
47. suppliers,2976,COMEDY,47. worker,4449,TRAGEDY
48. alignment,4523,COMEDY,48. goals,182,COMEDY
49. egg,2905,COMEDY,49. logic,2315,COMEDY
50. king,3764,TRAGEDY,50. bacteria,2885,TRAGEDY
51. vulnerability,2244,TRAGEDY,51. O,3305,COMEDY
52. ecosystems,1076,TRAGEDY,52. cash,2357,COMEDY
53. boundaries,814,TRAGEDY,53. drawbacks,2350,TRAGEDY
54. shots,4076,TRAGEDY,54. reduction,1302,TRAGEDY
55. containers,3191,COMEDY,55. everything,435,COMEDY
56. preferences,390,COMEDY,56. says,1396,COMEDY
57. salad,2239,COMEDY,57. public,1497,COMEDY
58. Lena,3922,COMEDY,58. Ensure,1136,COMEDY
59. editor,4473,COMEDY,59. code,104,COMEDY
60. dependencies,4727,TRAGEDY,60. Human,3144,TRAGEDY
61. ended,3164,TRAGEDY,61. math,3624,COMEDY
62. exploitation,3832,TRAGEDY,62. employees,331,COMEDY
63. trips,4249,COMEDY,63. weaknesses,2514,TRAGEDY
64. Calculate,3535,COMEDY,64. delay,3646,COMEDY
65. devices,556,COMEDY,65. requests,1699,COMEDY
66. sunset,4498,TRAGEDY,66. restoration,2777,COMEDY
67. fight,894,TRAGEDY,67. Introduction,1430,COMEDY
68. turn,682,COMEDY,68. Example,2495,COMEDY
69. hold,700,COMEDY,69. Japan,1304,COMEDY
70. implemented,507,COMEDY,70. breeze,3591,COMEDY
71. Wall,3632,TRAGEDY,71. windows,2859,COMEDY
72. knows,1921,COMEDY,72. Consider,599,TRAGEDY
73. accompanied,4620,COMEDY,73. gravity,3127,TRAGEDY
74. Hold,4666,COMEDY,74. charged,3175,TRAGEDY
75. gaining,3563,COMEDY,75. ecosystems,1076,TRAGEDY
76. simulate,4003,COMEDY,76. word,600,COMEDY
77. Market,2465,COMEDY,77. guiding,3915,COMEDY
78. succeed,2617,COMEDY,78. allure,4954,TRAGEDY
79. t,154,COMEDY,79. Step,725,COMEDY
80. NULL,3900,TRAGEDY,80. Fashion,4165,COMEDY
81. broken,3984,TRAGEDY,81. side,372,COMEDY
82. adventure,1195,COMEDY,82. speak,1568,COMEDY
83. Online,2604,COMEDY,83. bustling,3161,COMEDY
84. territory,4462,TRAGEDY,84. tries,2462,COMEDY
85. points,462,COMEDY,85. links,2163,COMEDY
86. precision,2046,COMEDY,86. principle,3876,TRAGEDY
87. speeds,4647,COMEDY,87. jewelry,2866,COMEDY
88. tender,2710,TRAGEDY,88. context,453,COMEDY
89. gestures,4726,COMEDY,89. module,2237,COMEDY
90. tongue,4232,COMEDY,90. Brown,4027,COMEDY
91. artists,438,COMEDY,91. Trump,3406,COMEDY
92. contributions,1392,TRAGEDY,92. information,22,TRAGEDY
93. advocating,2999,TRAGEDY,93. warming,3750,TRAGEDY
94. folder,3997,COMEDY,94. lot,516,COMEDY
95. noise,1694,COMEDY,95. expert,3454,COMEDY
96. yogurt,3123,COMEDY,96. trading,2478,COMEDY
97. Florida,4780,COMEDY,97. Monitor,3414,TRAGEDY
98. libraries,2148,COMEDY,98. luck,1531,COMEDY
99. fall,1443,COMEDY,99. cold,4275,TRAGEDY
100. philosophy,2544,TRAGEDY,100. forming,3514,COMEDY
101. chair,3178,COMEDY,101. tourist,3282,COMEDY
102. promises,4567,TRAGEDY,102. beauty,365,COMEDY
103. legs,1724,COMEDY,103. book,361,COMEDY
104. outcomes,621,TRAGEDY,104. Q,3149,COMEDY
105. integrated,2649,COMEDY,105. kill,1798,TRAGEDY
