"Prompt: 你将看到一系列词语。请根据你的第一反应，快速决定每个词语更让你联想到“喜剧”还是“悲剧”。在每个词语旁边写下你的选择。

请注意：

快速反应： 不需要过度思考，依靠第一印象。
简洁回答： 只需写下相应词语和你的选择，不要添加额外内容。

这些词语是：
",order-0,shuffle0-test0,"Prompt: 你将看到一系列词语。请根据你的第一反应，快速决定每个词语更让你联想到“喜剧”还是“悲剧”。在每个词语旁边写下你的选择。

请注意：

快速反应： 不需要过度思考，依靠第一印象。
简洁回答： 只需写下相应词语和你的选择，不要添加额外内容。

这些词语是：
.1",order-1,shuffle1-test0
1. 背,4477,TRAGEDY,1. 垃圾,341,TRAGEDY
2. 系数,2201,TRAGEDY,2. 瑜伽,493,COMEDY
3. 转型,1972,TRAGEDY,3. 单位,850,TRAGEDY
4. 编号,2696,TRAGEDY,4. 令,690,TRAGEDY
5. 不可或缺,1711,TRAGEDY,5. 更换,1060,TRAGEDY
6. 长期,1237,TRAGEDY,6. 意思,964,TRAGEDY
7. 形势,4140,TRAGEDY,7. 全球化,3138,TRAGEDY
8. 铁路,4034,TRAGEDY,8. 脸,2786,COMEDY
9. 体重,1195,TRAGEDY,9. 见面,2617,COMEDY
10. 爬,4670,TRAGEDY,10. 加工,1573,TRAGEDY
11. 受访者,4869,TRAGEDY,11. 人民币,2817,TRAGEDY
12. 历程,1579,TRAGEDY,12. 者,285,TRAGEDY
13. 工作,47,TRAGEDY,13. 舒适,2325,COMEDY
14. 大卫,4031,TRAGEDY,14. 实际,4557,TRAGEDY
15. 效率,195,TRAGEDY,15. 闪烁,3369,COMEDY
16. 探险家,4135,COMEDY,16. 收入,542,TRAGEDY
17. 密码,821,TRAGEDY,17. 优先级,2788,TRAGEDY
18. 分支,2019,TRAGEDY,18. 想要,612,COMEDY
19. 欢迎,447,COMEDY,19. 数据点,3514,TRAGEDY
20. 孩子们,4181,COMEDY,20. 记忆力,4743,COMEDY
21. 媒介,4058,TRAGEDY,21. 扩散,4049,TRAGEDY
22. 菠菜,4201,COMEDY,22. 酱料,4131,COMEDY
23. 段,2152,TRAGEDY,23. 贷款,1342,TRAGEDY
24. 通信,1138,TRAGEDY,24. 高管,3243,TRAGEDY
